,direction,label,maxVal_pos,maxVal_pre
0,pre,1,29814592.0,54302452.0
1,pre,1,82481928.0,115214216.0
2,pre,1,10026782.0,66427168.0
3,pre,1,7159446.0,200654848.0
4,pre,1,-2735315.25,71524792.0
5,pre,1,-14888758.0,76768856.0
6,pre,1,-20978256.0,32040752.0
7,pre,1,-5966559.0,181551472.0
8,pre,1,-21844672.0,85925688.0
9,pre,1,-5821025.0,78751800.0
10,pre,1,-50102324.0,68223672.0
11,pos,1,192631344.0,5255010.5
12,pos,1,152291088.0,-37972696.0
13,pos,1,69076048.0,-50638128.0
14,pos,1,158415664.0,43697068.0
15,pos,1,132620544.0,-58134612.0
16,pos,1,117830616.0,-38932440.0
17,pos,0,38231608.0,7391855.5
18,pos,0,67268864.0,122432736.0
19,pos,0,89799288.0,23828000.0
20,pos,0,39409700.0,65216788.0
21,pos,0,17070772.0,69158672.0
22,pos,0,6346352.5,7649824.5
23,pos,0,1334033.875,61435144.0
24,pos,0,28919584.0,48294260.0
25,pos,0,73182080.0,28496168.0
26,pos,0,-7443344.5,87186024.0
27,pos,0,14626201.0,33945520.0
28,pos,0,6255401.5,105682792.0
29,pos,0,7151253.0,34468504.0
30,pos,0,44169844.0,30858092.0
31,pos,0,25036722.0,144005344.0
32,pos,0,70616776.0,44316244.0
33,pos,0,10885610.0,46717004.0
34,pos,0,73241224.0,47825152.0
35,pos,0,-74240616.0,-58685092.0
36,pos,0,22527920.0,107803600.0
37,pos,0,140272.90625,58039344.0
38,pos,0,5928198.5,123961896.0
39,pos,0,5306552.0,25734824.0
40,pos,0,43735076.0,139240112.0
41,pos,0,104100784.0,83120440.0
42,pos,0,81308848.0,58816908.0
43,pos,0,45596304.0,65483020.0
44,pos,0,4489923.5,20376296.0
45,pos,0,90344256.0,36966876.0
46,pos,0,4177663.5,13292856.0
47,pos,0,35228296.0,52807760.0
48,pos,0,3391167.5,63750196.0
49,pos,0,41474868.0,60714572.0
50,pos,0,8329638.5,29105862.0
51,pos,0,37967920.0,2466585.75
52,pos,0,78299616.0,57230256.0
53,pos,0,43546408.0,56505540.0
54,pos,0,78235848.0,75020520.0
55,pos,0,19861340.0,112001232.0
56,pos,0,56501824.0,31117158.0
57,pos,0,54941628.0,70512216.0
58,pos,0,110337600.0,27362466.0
59,pos,0,69301968.0,75605656.0
60,pos,0,74605368.0,40828796.0
61,pos,0,7969899.5,25799606.0
62,pos,0,34955176.0,149923792.0
63,pos,0,51073080.0,56308628.0
64,pos,0,14983126.0,41224104.0
65,pos,0,11392219.0,41222372.0
66,pos,0,49295196.0,26303322.0
67,pos,0,55891208.0,50012256.0
68,pos,0,72703248.0,45158576.0
69,pos,0,77078856.0,48205232.0
70,pos,0,86146064.0,103102136.0
71,pos,0,115545376.0,41527544.0
72,pos,0,119076216.0,64341348.0
73,pos,0,14769183.0,133356904.0
74,pos,0,67078008.0,38251936.0
75,pos,0,2549268.5,76798480.0
76,pos,0,2805634.25,84529776.0
77,pos,0,74287432.0,49899684.0
78,pos,0,51849032.0,28984336.0
79,pos,0,33497592.0,103599784.0
80,pos,0,5743487.0,32316058.0
81,pos,0,14528704.0,17951376.0
82,pos,0,29779810.0,56091948.0
83,pos,0,77983392.0,58549536.0
84,pos,0,68744544.0,38841956.0
85,pos,0,42882960.0,56973156.0
