,altura,detection,inicio,tamanho
0,low,47,2,181
1,middle,47,2,180
2,high,47,3,178
3,low,47,9,179
4,middle,47,9,178
5,high,47,10,177
6,low,47,16,178
7,middle,47,16,177
8,high,47,16,177
9,low,47,22,178
10,middle,47,23,176
11,high,47,23,176
12,low,47,29,177
13,middle,47,30,175
14,high,47,30,175
15,low,47,36,176
16,middle,47,36,175
17,high,47,36,174
18,low,47,42,175
19,middle,47,43,173
20,high,47,43,173
21,low,47,48,174
22,middle,47,49,173
23,high,47,49,172
24,low,47,54,173
25,middle,47,55,172
26,high,47,55,171
27,low,47,60,173
28,middle,47,61,171
29,high,47,61,171
30,low,47,66,172
31,middle,47,66,171
32,high,47,67,170
33,low,47,72,171
34,middle,47,72,170
35,high,47,73,169
36,low,47,78,171
37,middle,47,78,170
38,high,47,78,170
39,low,107,4,196
40,middle,107,4,195
41,high,107,5,194
42,low,107,11,195
43,middle,107,11,193
44,high,107,12,192
45,low,107,17,196
46,middle,107,17,193
47,high,107,18,192
48,low,107,23,195
49,middle,107,23,192
50,high,107,24,191
51,low,107,29,194
52,middle,107,30,190
53,high,107,30,190
54,low,107,35,193
55,middle,107,36,189
56,high,107,36,189
57,low,107,41,193
58,middle,107,42,189
59,high,107,42,189
60,low,107,48,191
61,middle,107,48,189
62,high,107,49,187
63,low,107,55,190
64,middle,107,55,187
65,high,107,56,186
66,middle,107,61,187
67,high,107,62,186
